,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
970,True,1,0,0,1,27,-970,-0.20000000000000018,-13,0,-454,-1,-4,-2,1,0,0,0,0,0,1,0,0
971,True,1,0,0,0,27,-1018,-0.39999999999999947,-27,0,-2446,0,3,-8,2,0,0,0,0,0,0,0,0
972,False,0,0,0,0,30,-4642,-0.5999999999999996,-43,-2,-1927,-10,-6,-2,-6,0,0,0,0,0,0,-1,0
973,False,0,0,0,0,34,487,-0.40000000000000036,-28,4,-1496,1,7,-4,0,0,0,0,0,0,0,0,1
974,True,0,0,0,0,25,2633,0.40000000000000036,52,-3,2829,3,-8,-1,0,0,0,0,0,0,0,0,1
975,False,1,0,0,0,29,713,0.20000000000000018,16,-9,2224,0,2,-19,15,0,0,0,0,0,0,0,0
976,True,1,0,0,1,30,1982,0.1999999999999993,1,-1,3048,4,7,0,2,0,0,0,0,0,1,-1,1
977,True,0,0,0,1,25,-1061,0.20000000000000018,7,21,-3338,-3,-4,-22,-1,0,0,0,0,0,1,1,0
978,True,0,0,0,0,23,3539,0.20000000000000018,81,-20,2368,3,9,-2,1,0,0,0,0,0,-1,0,1
979,True,0,0,0,0,24,-924,0.20000000000000018,1,-12,1934,-1,-3,0,0,0,0,0,0,0,0,-1,0
980,True,1,0,0,0,18,2340,0.39999999999999947,-21,-2,6609,4,5,0,-2,0,0,0,0,0,-1,1,1
981,False,0,0,0,0,25,-1592,0.1999999999999993,3,-16,-1475,-3,-5,0,-3,0,0,0,0,0,-1,0,0
982,False,1,0,0,0,31,-863,-0.20000000000000018,-13,-3,-1746,-1,-3,-2,2,0,0,0,0,0,-1,0,0
983,True,0,0,0,1,22,-1155,-0.39999999999999947,14,9,-697,-2,-1,-8,4,0,0,0,0,0,1,0,0
984,True,0,0,0,0,30,-537,0.1999999999999993,-11,8,-5058,-1,-4,-1,0,0,0,0,0,0,-1,1,0
985,False,0,0,0,0,17,-3382,-0.39999999999999947,-13,12,-2380,-7,-8,-2,-2,0,0,0,0,0,-1,-1,0
986,True,1,0,0,1,18,3455,0.20000000000000018,36,9,6511,8,7,-11,5,0,0,0,0,0,1,0,1
987,True,1,0,0,0,22,-736,-0.39999999999999947,0,-12,976,-1,1,-1,-1,0,0,0,0,0,-1,0,0
988,False,0,0,0,1,20,-1634,0.20000000000000018,-5,0,-1686,-5,-10,-2,2,0,0,0,0,0,1,0,0
989,False,0,0,0,1,23,-2385,-0.20000000000000018,-14,-4,-4368,-3,-6,2,0,0,0,0,0,0,1,1,0
990,True,1,0,0,0,22,3033,0.0,-3,-4,1712,9,4,-2,-1,0,0,0,0,0,0,0,1
991,False,0,0,0,0,17,-4636,-0.7999999999999998,-22,14,-4295,-8,-9,-5,0,0,0,0,0,0,0,0,0
992,True,1,0,0,1,29,-912,0.1999999999999993,25,-15,773,-2,-4,-220,1,0,0,0,0,0,1,0,0
993,True,0,0,0,1,22,1543,0.0,-15,18,-668,2,6,0,-1,0,0,0,0,0,1,0,1
994,True,1,0,0,0,22,2582,0.5999999999999996,6,16,2334,3,3,40,5,0,0,0,0,0,-1,1,1
995,True,0,0,0,0,32,-622,0.0,-8,-4,-623,-1,2,-3,2,0,0,0,0,0,-1,0,0
996,False,1,0,0,0,19,-102,-0.1999999999999993,-21,8,-2519,0,-3,0,1,0,0,0,0,0,-1,0,0
997,False,1,0,0,0,35,1346,0.20000000000000018,15,5,403,1,5,31,-19,0,0,0,0,0,0,0,1
998,False,0,0,0,0,22,-3282,-0.39999999999999947,-56,-8,-126,-2,-7,9,-5,0,0,0,0,0,-1,0,0
999,False,0,0,0,1,24,1016,0.5999999999999996,23,24,2659,0,0,3,-1,0,0,0,0,0,1,1,0
1000,False,0,0,0,0,29,462,0.0,-18,12,4165,0,5,10,2,0,0,0,0,0,0,0,0
1001,False,0,0,0,0,27,-1123,0.0,-8,0,-2674,-3,-8,-3,-6,0,0,0,0,0,-1,0,0
1002,False,0,0,0,0,24,-1440,-0.39999999999999947,-20,-4,-1522,-2,0,15,3,0,0,0,0,0,-1,0,0
1003,True,1,0,0,0,32,4291,0.20000000000000018,11,8,6359,7,8,-7,1,0,0,0,0,0,-1,1,1
1004,False,0,0,0,0,25,-3803,-0.5999999999999996,-48,7,-2510,-5,-3,13,-2,0,0,0,0,0,0,-1,0
1005,False,1,0,0,1,32,1559,0.0,40,-4,1086,2,5,-3,4,0,0,0,0,0,1,1,1
1006,False,1,0,0,0,37,-1216,-0.40000000000000036,-14,-20,-1797,-1,-1,2,-3,0,0,0,0,0,-1,0,0
1007,False,0,0,0,0,29,-1860,-0.39999999999999947,-32,5,-1306,-1,-1,6,-1,0,0,0,0,0,0,1,0
1008,False,1,0,0,0,30,-172,-0.39999999999999947,-23,-4,-2393,1,2,-3,0,0,0,0,0,0,-1,0,1
1009,False,1,0,0,0,24,417,-0.20000000000000018,38,-16,-5443,-1,2,-25,2,0,0,0,0,0,0,-1,0
1010,False,0,0,0,0,17,-5524,-0.7999999999999998,-71,0,-4545,-8,-10,4,4,0,0,0,0,0,-1,0,0
1011,True,0,0,0,0,20,1720,0.1999999999999993,13,17,-1372,3,1,17,4,0,0,0,0,0,0,1,1
1012,True,1,0,0,0,32,2201,0.20000000000000018,-14,16,-1519,5,6,-4,1,0,0,0,0,0,0,0,1
1013,True,0,0,0,0,33,-124,-0.40000000000000036,-52,-16,3,-1,2,-2,-1,0,0,0,0,0,0,0,0
1014,False,1,0,0,0,17,-4661,-0.7999999999999998,-38,-7,-2850,-7,-8,-6,-1,0,0,0,0,0,0,0,0
1015,False,1,0,0,0,26,-957,-0.1999999999999993,16,-6,-2354,-3,-6,2,-1,0,0,0,0,0,-1,0,0
1016,False,1,0,0,1,23,225,-0.1999999999999993,0,-16,-727,2,-2,2,0,0,0,0,0,0,1,0,1
1017,False,0,0,0,0,25,-2528,-0.40000000000000036,-3,-17,1863,-3,-5,1,-1,0,0,0,0,0,0,-1,0
1018,False,1,0,0,1,35,804,0.0,-10,-2,1923,1,3,0,0,0,0,0,0,0,1,0,1
1019,False,0,0,0,0,23,2,-0.1999999999999993,-50,-5,-1204,2,-2,-3,-1,0,0,0,0,0,-1,1,1
1020,False,1,0,0,0,22,16,0.20000000000000018,30,4,1660,-3,-1,2,-3,0,0,0,0,0,0,-1,0
1021,False,0,0,0,0,26,-1566,-0.5999999999999996,-7,4,300,-3,-9,-5,0,0,0,0,0,0,0,-1,0
1022,True,0,0,0,0,37,-1396,0.20000000000000018,-18,-7,-2810,-3,-7,-1,-1,0,0,0,0,0,-1,0,0
1023,True,1,0,0,0,23,770,0.1999999999999993,3,-9,2692,2,3,-28,12,0,0,0,0,0,0,0,1
1024,True,1,1,0,0,21,3575,0.40000000000000036,4,-20,5708,8,10,0,1,1,0,0,1,0,0,0,1
1025,True,1,0,0,1,20,856,0.39999999999999947,-20,4,-795,1,1,3,0,0,0,0,0,0,1,1,1
1026,True,1,0,0,0,23,3394,0.39999999999999947,47,-4,2227,4,3,-3,2,0,0,0,0,0,-1,1,1
1027,True,1,0,0,0,23,2268,0.39999999999999947,-2,-1,1201,4,6,16,3,0,0,0,0,0,-1,0,1
1028,True,0,0,0,1,32,-855,-0.20000000000000018,-15,8,2279,-2,-5,-2,-4,0,0,0,0,0,1,0,0
1029,True,1,0,0,0,31,-3151,-0.1999999999999993,-4,0,-348,-6,-10,-7,3,0,0,0,0,0,-1,0,0
1030,True,0,0,0,0,17,1153,0.39999999999999947,10,-8,2513,0,5,1,-4,0,0,0,0,0,-1,1,0
1031,True,0,0,0,1,22,1738,0.0,21,8,1537,2,6,18,-1,0,0,0,0,0,1,0,1
1032,True,0,0,0,0,17,3848,0.40000000000000036,40,-16,3755,10,3,0,0,0,0,0,0,0,0,0,1
1033,False,0,0,0,0,23,-555,0.0,-15,-7,1300,2,3,0,-4,0,0,0,0,0,0,0,1
