,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
2181,True,1,1,0,1,18,8915,1.1999999999999993,35,7,10934,12,15,8,-1,1,0,0,1,0,2,1,1
2182,False,0,0,0,0,27,-2986,-0.20000000000000107,-33,-9,-6521,-1,-5,-1,3,0,0,0,-1,0,-2,1,0
2183,True,1,0,0,0,26,3021,0.0,66,-20,7150,5,6,-75,1,0,0,0,-1,0,0,-1,1
2184,False,0,0,0,0,17,-8458,-0.7999999999999989,-66,-19,-15343,-7,-4,-7,-3,0,-2,0,-1,0,-2,-1,0
2185,True,1,0,0,1,24,509,0.1999999999999993,-29,14,-454,2,2,-5,7,0,0,0,0,0,1,1,1
2186,True,1,0,0,1,18,2122,-0.20000000000000107,4,-16,2829,9,23,5,-3,0,0,-1,1,0,1,-1,1
2187,True,1,0,0,0,31,277,0.0,86,5,618,-6,-9,2,-1,0,0,0,0,0,-1,-1,0
2188,True,1,0,0,1,30,-1492,-0.20000000000000107,3,5,-1833,-7,-15,4,4,0,0,-1,1,0,0,1,0
2189,True,1,1,0,1,17,10685,0.5999999999999996,69,-1,13234,13,15,-4,11,3,1,1,1,0,2,1,1
2190,False,0,0,0,0,17,-7509,-0.7999999999999989,-53,-22,-3725,-10,-10,0,-4,0,-1,0,0,0,-1,-1,0
2191,False,0,1,0,0,26,-799,0.1999999999999993,-11,-1,-7893,-4,-10,-4,-4,2,0,2,0,0,0,1,0
2192,True,1,1,0,1,22,6383,0.5999999999999996,29,12,10242,10,10,9,1,2,0,1,1,0,2,-1,1
2193,False,0,0,0,0,32,-2872,0.0,-82,-7,-8158,-3,-7,-4,2,0,0,0,-1,0,-1,1,0
2194,True,0,0,0,0,38,4742,0.40000000000000036,-22,20,6974,10,10,-9,2,0,0,0,-1,0,-1,1,1
2195,True,0,1,0,0,22,4357,0.5999999999999996,40,-4,5976,7,8,-1,-4,1,0,1,0,0,-2,-1,1
2196,True,1,0,0,1,17,7302,1.1999999999999993,62,13,13187,11,11,-12,4,-1,0,-1,-1,0,2,-1,1
2197,False,1,0,0,1,23,-3064,-0.1999999999999993,-49,-18,-2442,3,9,11,-7,-1,-1,-1,-1,0,1,1,1
2198,True,1,0,0,0,26,-2111,-0.1999999999999993,-1,-9,-2181,-1,2,-232,0,0,0,0,-1,0,0,-1,0
2199,False,0,0,0,0,29,-3451,-0.20000000000000107,-16,8,-2528,1,-2,-22,0,-1,0,-1,-1,0,-1,-1,1
2200,True,1,1,0,1,23,5868,0.7999999999999989,60,-15,17161,7,2,14,-6,1,0,1,0,0,1,-1,1
2201,True,1,1,0,1,31,1707,0.0,-46,-1,3471,3,2,-3,-2,1,1,0,0,0,2,1,1
2202,True,1,1,0,1,26,5200,0.40000000000000036,4,20,10344,7,5,1,0,1,0,0,1,0,2,1,1
2203,False,0,0,0,0,24,-1545,-0.1999999999999993,-2,-15,-1544,-1,3,11,0,1,0,1,-1,0,-1,-1,0
2204,True,1,1,0,0,20,8616,0.40000000000000036,82,-13,6382,12,12,-99,-2,1,1,0,0,0,-1,1,1
2205,True,1,1,0,0,25,899,-0.40000000000000036,-25,-15,-479,0,0,-2,-1,1,0,0,1,0,-1,-1,0
2206,False,0,0,0,0,35,-341,0.20000000000000107,44,-7,-3091,-6,-13,-5,-1,-1,0,-1,-1,0,-1,1,0
2207,False,1,0,0,0,23,1740,-0.40000000000000036,41,-21,6227,-1,1,-2,8,0,0,0,0,0,0,1,0
2208,False,1,1,0,1,33,1117,-0.1999999999999993,-36,21,1101,3,15,13,-2,1,1,0,-1,0,0,1,1
2209,False,0,0,0,0,27,-3729,-0.20000000000000107,14,-12,-3956,-9,-7,1,3,-1,0,-1,0,0,-1,1,0
2210,True,1,0,0,1,24,4120,-0.20000000000000107,15,-1,7700,2,14,-28,9,0,-1,0,0,0,1,1,1
2211,False,1,0,0,0,25,1036,0.40000000000000036,-6,-12,4166,4,-1,6,1,-1,0,-1,0,0,-1,1,1
2212,True,0,0,0,0,32,-1929,-0.5999999999999996,26,-5,-9098,-7,-7,-5,0,0,0,0,-1,0,-1,1,0
2213,True,0,0,0,0,27,2390,0.40000000000000036,42,-16,10040,2,9,7,0,0,-1,0,-1,0,-1,1,1
2214,False,0,0,0,0,17,-4492,-0.5999999999999996,-6,-6,-2235,-11,-14,2,0,0,0,0,0,0,-1,1,0
2215,False,0,0,0,0,33,-1834,-0.20000000000000107,-25,7,-6964,-6,-11,-53,-2,-1,0,-1,0,0,-2,1,0
2216,False,0,0,0,0,36,-3300,-0.20000000000000107,-56,-9,-3915,0,-4,14,2,0,-1,0,0,0,-2,-1,0
2217,True,1,0,0,0,17,4327,0.40000000000000036,25,9,7579,4,-4,-3,1,0,0,0,0,0,-1,1,1
2218,False,0,1,0,1,29,-1810,-0.1999999999999993,14,6,-7091,-4,-4,-3,-6,1,1,0,-1,0,0,1,0
2219,False,1,1,0,0,30,270,-0.40000000000000036,16,-11,3979,-2,-3,-4,0,1,0,1,0,0,-2,-1,0
2220,False,0,0,0,0,20,-9086,-0.3999999999999986,-76,0,-6658,-10,-12,-134,-2,0,-2,0,-1,0,-1,-1,0
2221,True,1,0,0,0,25,879,0.20000000000000107,4,-7,5233,2,7,-8,7,0,-1,0,0,0,0,-1,1
2222,True,1,0,0,1,34,3073,0.8000000000000007,-5,14,4077,8,7,8,2,1,1,0,-1,0,2,1,1
